,Omegam,Omegab,h,ns,sigma8,w0,wa,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2287383.8719888637,-1611026.874773765,-4036056.941425912,310063.6299146927,326108.00673000794,242129.85574096558,60968.86798335414,617285.5363557992,635800.0074244736,554940.9860799048,520772.23156009224,66.48947323821686,64.84592209135532,54.16688353111018,49.485683840897046
Omegab,-1611026.874773765,4632290.27355324,-38561.87110071455,-883079.0751265222,26277.12048318803,78464.42578888929,20808.459941888872,-71463.45877653605,-31201.175963929098,31433.11444784797,155372.73610534542,-38.441711350398734,-35.02425039362877,-26.680754775574663,-20.283020498929382
h,-4036056.941425912,-38561.87110071455,13864986.240377426,112027.58750412634,-1678202.0234324764,-770815.7281816863,-155662.4332303034,-1860150.0854811822,-1824680.4534794863,-1555675.2764340406,-1494309.3518019328,-171.27896054754706,-158.3035936938748,-126.32829532658893,-111.16711896451562
ns,310063.6299146927,-883079.0751265222,112027.58750412634,253178.7920544779,-39689.693808152784,-55852.8345605078,-13492.886639421826,-18376.39453706429,-30741.980725905887,-44080.31108011875,-78788.6237481187,8.573055934824884,7.536423644979064,5.431123417252815,3.593934721189407
sigma8,326108.00673000794,26277.12048318803,-1678202.0234324764,-39689.693808152784,268635.2342930425,87299.31725227639,13646.01343365499,200897.09365082503,193728.76827696606,163753.19870804803,159150.48487549054,17.686551449545693,16.00825168418541,12.580715533559781,11.047957674015926
w0,242129.85574096558,78464.42578888929,-770815.7281816863,-55852.8345605078,87299.31725227639,70422.90069703801,16533.483531979527,123745.76659982382,128056.56126006975,114102.7575188696,116008.65484382006,8.531876045953187,8.582921162268969,7.306652892275816,6.873477188354498
wa,60968.86798335414,20808.459941888872,-155662.4332303034,-13492.886639421826,13646.01343365499,16533.483531979527,4244.9423296219165,25786.204618899177,28917.02704405197,27262.593068588263,29085.894995883886,1.686327438394506,1.8583462871992134,1.688943921210652,1.6834133552435495
lnbgs8_1,617285.5363557992,-71463.45877653605,-1860150.0854811822,-18376.39453706429,200897.09365082503,123745.76659982382,25786.204618899177,1011775.9377081059,0.0,0.0,0.0,84.28360971548474,0.0,0.0,0.0
lnbgs8_2,635800.0074244736,-31201.175963929098,-1824680.4534794863,-30741.980725905887,193728.76827696606,128056.56126006975,28917.02704405197,0.0,1018330.5311391262,0.0,0.0,0.0,80.46802160441163,0.0,0.0
lnbgs8_3,554940.9860799048,31433.11444784797,-1555675.2764340406,-44080.31108011875,163753.19870804803,114102.7575188696,27262.593068588263,0.0,0.0,892001.9860694384,0.0,0.0,0.0,66.39877904726268,0.0
lnbgs8_4,520772.23156009224,155372.73610534542,-1494309.3518019328,-78788.6237481187,159150.48487549054,116008.65484382006,29085.894995883886,0.0,0.0,0.0,886274.91673391,0.0,0.0,0.0,60.84171699388652
Ps_1,66.48947323821686,-38.441711350398734,-171.27896054754706,8.573055934824884,17.686551449545693,8.531876045953187,1.686327438394506,84.28360971548474,0.0,0.0,0.0,0.009383103378870782,0.0,0.0,0.0
Ps_2,64.84592209135532,-35.02425039362877,-158.3035936938748,7.536423644979064,16.00825168418541,8.582921162268969,1.8583462871992134,0.0,80.46802160441163,0.0,0.0,0.0,0.008555064912310744,0.0,0.0
Ps_3,54.16688353111018,-26.680754775574663,-126.32829532658893,5.431123417252815,12.580715533559781,7.306652892275816,1.688943921210652,0.0,0.0,66.39877904726268,0.0,0.0,0.0,0.0067417490997994396,0.0
Ps_4,49.485683840897046,-20.283020498929382,-111.16711896451562,3.593934721189407,11.047957674015926,6.873477188354498,1.6834133552435495,0.0,0.0,0.0,60.84171699388652,0.0,0.0,0.0,0.005885874997366821
